feature,amplitude,percent_close_to_median,skew
channel,0,0,0
0,88.0,0.4444444444444444,2.2626547788988147
1,61.0,0.6666666666666666,1.285343177834972
2,70.0,0.6666666666666666,1.6830307736980505
3,67.0,0.5555555555555556,1.724109107267652
4,75.0,0.7777777777777778,1.9025130879751535
5,59.0,0.6666666666666666,1.319263101183547
6,63.0,0.7777777777777778,1.4793952852242582
7,85.0,0.7777777777777778,2.1902265319382144
8,70.5,0.7777777777777778,1.7832857129736823
9,86.5,0.7777777777777778,2.1878580887525048
10,58.0,0.2222222222222222,1.218769896956809
11,47.0,0.2222222222222222,0.8197559511525007
12,52.0,0.2222222222222222,0.9568553873586535
13,70.0,0.7777777777777778,1.4742181395773521
14,87.0,0.4444444444444444,2.240592401538743
15,44.0,0.1111111111111111,0.5185711922209378
16,76.0,0.7777777777777778,1.803691012536088
17,74.5,0.7777777777777778,1.8715020476035387
18,73.0,0.6666666666666666,1.6692511124284097
19,75.5,0.7777777777777778,1.6817340454518481
20,74.5,0.6666666666666666,1.8994752264527954
21,89.0,0.6666666666666666,2.2941881807008433
22,57.0,0.3333333333333333,1.3539458007987994
23,70.5,0.6666666666666666,1.567048866080696
24,53.0,0.3333333333333333,1.2071957267217652
25,75.0,0.7777777777777778,1.6762212890701464
26,64.0,0.4444444444444444,1.7972299900840356
27,81.0,0.7777777777777778,1.9947260712269783
28,48.0,0.3333333333333333,1.0098383269223576
29,55.5,0.4444444444444444,1.2442602583429643
30,71.5,0.7777777777777778,1.7432351619849
31,81.0,0.6666666666666666,2.066002494293173
32,65.5,0.6666666666666666,1.3854418771148524
33,75.0,0.7777777777777778,1.7576070727137387
34,85.0,0.7777777777777778,2.1093886850098063
35,71.0,0.4444444444444444,2.0161912065814223
36,86.0,0.7777777777777778,2.1990108451446777
37,73.0,0.7777777777777778,1.5352526263541364
38,76.5,0.6666666666666666,1.9207389305343205
39,73.5,0.3333333333333333,1.8726123237564334
40,80.0,0.7777777777777778,1.8933694982802787
41,67.0,0.6666666666666666,1.630458835587214
42,76.5,0.6666666666666666,1.9466442506353279
43,77.0,0.7777777777777778,1.8204382804486423
44,74.5,0.7777777777777778,1.6320374099330668
45,73.5,0.4444444444444444,1.8183476383613355
46,65.5,0.6666666666666666,1.5152044886079314
47,76.5,0.7777777777777778,1.6223736365692019
48,60.0,0.3333333333333333,1.624062355136111
49,69.0,0.7777777777777778,1.5052268932119006
50,69.0,0.6666666666666666,1.6403696571925979
51,86.0,0.6666666666666666,2.083337155395743
52,72.5,0.7777777777777778,1.84754292497411
53,69.0,0.6666666666666666,1.485917386254307
54,80.5,0.6666666666666666,1.8893935334455199
55,84.0,0.6666666666666666,2.1862342801914103
56,51.0,0.4444444444444444,1.1041058411644218
57,70.5,0.7777777777777778,1.6502347734066884
58,59.0,0.4444444444444444,1.4256006584695853
59,44.5,0.1111111111111111,0.6256124999414177
60,70.5,0.7777777777777778,1.663419375389283
61,76.5,0.6666666666666666,1.8969361819785775
62,81.0,0.7777777777777778,2.100287493828308
63,66.0,0.6666666666666666,1.368345650085881
64,64.0,0.5555555555555556,1.6691468198566162
65,48.5,0.3333333333333333,1.0308835649595975
66,68.5,0.7777777777777778,1.5235569385837768
67,80.5,0.6666666666666666,2.0945650172262296
68,78.0,0.7777777777777778,1.8440191351389865
69,81.5,0.7777777777777778,2.098754661930687
70,69.5,0.7777777777777778,1.7109110052444854
71,74.0,0.6666666666666666,1.7554801117386638
72,62.0,0.7777777777777778,1.4406783030892798
73,82.0,0.7777777777777778,2.0408276259279763
74,41.5,0.1111111111111111,0.43698487356374155
75,72.5,0.3333333333333333,1.9669781238285209
76,73.0,0.7777777777777778,1.7416372154187556
77,79.0,0.7777777777777778,2.012780464248896
78,80.5,0.7777777777777778,1.9178795085598588
79,84.0,0.7777777777777778,2.156432580043704
80,71.5,0.6666666666666666,1.5622781415655556
81,70.0,0.4444444444444444,1.9211036563705812
82,79.5,0.7777777777777778,1.7590793019718163
83,77.0,0.7777777777777778,2.0133600199118344
84,76.0,0.6666666666666666,1.9099305764770793
85,89.5,0.4444444444444444,2.2859744235983417
86,64.5,0.7777777777777778,1.400417636279466
87,88.5,0.6666666666666666,2.272958055202075
88,69.0,0.6666666666666666,1.4910021715099462
89,50.5,0.2222222222222222,0.9841309431085645
90,77.5,0.7777777777777778,1.914510710703115
91,34.0,0.1111111111111111,0.07385432667405903
92,78.0,0.6666666666666666,1.952424555980644
93,74.5,0.3333333333333333,1.857769043434503
94,88.0,0.7777777777777778,2.2080415051381173
95,78.0,0.7777777777777778,1.8666122341559486
96,37.5,0.3333333333333333,0.4923297843980775
97,65.0,0.3333333333333333,1.6961809146269298
98,75.5,0.6666666666666666,1.8392154143002581
99,76.5,0.7777777777777778,1.8265307131547763
100,43.5,0.4444444444444444,0.40644595813660833
101,65.5,0.6666666666666666,1.6171821342427235
102,71.5,0.7777777777777778,1.6037606786814134
103,62.5,0.3333333333333333,1.6357910493775119
104,45.5,0.3333333333333333,0.9438761519648037
105,68.0,0.6666666666666666,1.4296138069920625
106,60.5,0.2222222222222222,1.552611617005059
107,37.0,0.1111111111111111,0.30843447838016974
108,41.0,0.2222222222222222,0.42351423686812556
109,81.0,0.7777777777777778,2.0346062975650265
110,69.5,0.6666666666666666,1.7360427766572728
111,81.0,0.7777777777777778,2.004067357695035
112,75.5,0.7777777777777778,1.7292694547502843
113,72.0,0.3333333333333333,2.040544072981023
114,66.0,0.7777777777777778,1.5655522006572384
115,87.0,0.7777777777777778,2.193629620656779
116,60.0,0.5555555555555556,1.4032214522703137
117,71.5,0.3333333333333333,1.718387959148068
118,72.5,0.7777777777777778,1.594052537374607
119,61.5,0.2222222222222222,1.5827262524637382
120,72.0,0.3333333333333333,1.7656036166067968
121,81.0,0.6666666666666666,1.8752073615145775
122,71.0,0.6666666666666666,1.5433552770932302
123,69.0,0.7777777777777778,1.5108564981144739
124,74.5,0.6666666666666666,1.7260981590442495
125,90.0,0.6666666666666666,2.216340180037861
126,82.5,0.7777777777777778,2.005364799993088
127,79.5,0.6666666666666666,2.035927910075721
128,70.0,0.7777777777777778,1.5521358078805285
129,71.5,0.4444444444444444,1.9083983638616002
130,81.0,0.6666666666666666,2.081837727625561
131,57.0,0.3333333333333333,1.377761977613958
132,39.0,0.2222222222222222,0.2638043028548279
133,40.0,0.1111111111111111,0.404638969286343
134,36.0,0.2222222222222222,0.2212817121401994
135,59.0,0.3333333333333333,1.5341463975810963
136,33.0,0.1111111111111111,-0.010273892758739415
137,66.0,0.7777777777777778,1.368606982596907
138,75.5,0.6666666666666666,1.84652163896326
139,87.0,0.7777777777777778,2.2171021966548454
140,72.5,0.6666666666666666,1.8599843018817213
141,76.0,0.7777777777777778,1.713673719086417
142,64.0,0.4444444444444444,1.4837706905180703
143,69.0,0.7777777777777778,1.6816879481299396
144,39.5,0.2222222222222222,0.4882374787862422
145,45.0,0.2222222222222222,0.9096895465096122
146,77.0,0.6666666666666666,2.017049866478767
147,67.0,0.6666666666666666,1.5731869510582586
148,75.5,0.7777777777777778,1.7152375338314965
149,75.0,0.4444444444444444,1.9049555753409826
150,74.5,0.6666666666666666,1.8169462212351566
151,47.5,0.3333333333333333,0.7767431714299142
152,68.5,0.7777777777777778,1.5202075912721265
153,68.0,0.4444444444444444,1.8405600802206763
